Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
09/04/00,Reform,232,1.147,0.004,0.005,0.005,0.005
09/04/00,Rep,627,309.452,0.487,0.499,0.494,0.49
09/05/00,Dem,656,332.57,0.5,0.518,0.507,0.511
09/05/00,Reform,301,1.553,0.005,0.006,0.005,0.005
09/05/00,Rep,580,282.832,0.474,0.496,0.488,0.478
09/06/00,Dem,590,322.189,0.511,0.6,0.546,0.533
09/06/00,Reform,157,0.718,0.003,0.006,0.005,0.004
09/06/00,Rep,414,192.836,0.458,0.488,0.466,0.469
09/07/00,Dem,"1,319",746.042,0.543,0.588,0.566,0.56
09/07/00,Reform,878,3.082,0.002,0.005,0.004,0.002
09/07/00,Rep,"2,287","1,031.96",0.427,0.48,0.451,0.438
09/08/00,Dem,"1,448",842.84,0.547,0.604,0.582,0.576
09/08/00,Reform,69,0.15,0.002,0.003,0.002,0.003
09/08/00,Rep,871,378.067,0.426,0.439,0.434,0.432
09/09/00,Dem,404,230.584,0.562,0.575,0.571,0.562
09/09/00,Reform,366,0.822,0.002,0.003,0.002,0.003
09/09/00,Rep,612,263.759,0.424,0.439,0.431,0.439
09/10/00,Dem,357,199.714,0.547,0.569,0.559,0.551
09/10/00,Reform,"1,360",2.77,0.002,0.003,0.002,0.002
09/10/00,Rep,188,83.616,0.44,0.45,0.445,0.449
09/11/00,Dem,"1,197",692.269,0.553,0.599,0.578,0.585
09/11/00,Reform,391,0.792,0.002,0.003,0.002,0.002
09/11/00,Rep,742,322.743,0.426,0.445,0.435,0.426
09/12/00,Dem,999,586.843,0.57,0.599,0.587,0.574
09/12/00,Reform,946,1.914,0.002,0.003,0.002,0.002
09/12/00,Rep,761,322.723,0.41,0.442,0.424,0.419
09/13/00,Dem,532,314.614,0.575,0.599,0.591,0.595
09/13/00,Reform,686,1.372,0.002,0.002,0.002,0.002
09/13/00,Rep,"1,136",460.181,0.395,0.437,0.405,0.401
09/14/00,Dem,"1,599",974.139,0.591,0.625,0.609,0.62
09/14/00,Reform,244,0.489,0.002,0.003,0.002,0.002
09/14/00,Rep,734,289.27,0.36,0.417,0.394,0.382
09/15/00,Dem,"1,450",932.641,0.623,0.65,0.643,0.65
09/15/00,Reform,"1,737",4.97,0.002,0.003,0.003,0.003
09/15/00,Rep,"1,596",581.482,0.351,0.388,0.364,0.37
09/16/00,Dem,290,187.358,0.62,0.675,0.646,0.67
09/16/00,Reform,"1,387",1.774,0.001,0.003,0.001,0.003
09/16/00,Rep,"1,335",491.519,0.325,0.38,0.368,0.375
09/17/00,Dem,72,47.123,0.644,0.656,0.654,0.656
09/17/00,Reform,707,1.414,0.002,0.003,0.002,0.002
09/17/00,Rep,599,198.788,0.305,0.355,0.332,0.342
09/18/00,Dem,"1,436","1,008.28",0.668,0.748,0.702,0.718
09/18/00,Reform,349,0.638,0.001,0.003,0.002,0.001
09/18/00,Rep,"1,413",439.968,0.275,0.338,0.311,0.314
09/19/00,Dem,"1,737","1,200.95",0.67,0.728,0.691,0.699
09/19/00,Reform,"1,773",3.389,0.001,0.002,0.002,0.002
09/19/00,Rep,734,239.427,0.282,0.36,0.326,0.324
09/20/00,Dem,"1,438",934.879,0.605,0.698,0.65,0.605
09/20/00,Reform,"9,980",30.015,0.002,0.004,0.003,0.002
09/20/00,Rep,"2,228",808.563,0.32,0.435,0.363,0.39
09/21/00,Dem,849,522.478,0.58,0.638,0.615,0.629
09/21/00,Reform,"1,171",3.488,0.002,0.004,0.003,0.003
09/21/00,Rep,"1,561",618.311,0.35,0.43,0.396,0.388
09/22/00,Dem,347,212.272,0.604,0.648,0.612,0.606
09/22/00,Reform,"1,426",4.478,0.002,0.004,0.003,0.003
09/22/00,Rep,"1,103",431.229,0.376,0.399,0.391,0.391
09/23/00,Dem,318,193.079,0.6,0.616,0.607,0.61
09/23/00,Reform,297,0.758,0.002,0.003,0.003,0.002
09/23/00,Rep,182,70.124,0.375,0.399,0.385,0.382
09/24/00,Dem,"1,149",673.582,0.58,0.613,0.586,0.58
09/24/00,Reform,369,0.742,0.002,0.003,0.002,0.002
09/24/00,Rep,328,132.326,0.385,0.409,0.403,0.409
09/25/00,Dem,"1,596",931.118,0.575,0.606,0.583,0.588
09/25/00,Reform,"1,236",3.707,0.002,0.004,0.003,0.003
09/25/00,Rep,"1,563",647.452,0.407,0.42,0.414,0.417
09/26/00,Dem,397,232.436,0.581,0.594,0.585,0.59
09/26/00,Reform,"4,441",17.443,0.002,0.004,0.004,0.002
09/26/00,Rep,709,298.402,0.41,0.44,0.421,0.411
09/27/00,Dem,531,307.8,0.573,0.59,0.58,0.573
09/27/00,Reform,659,2.162,0.003,0.004,0.003,0.003
09/27/00,Rep,253,105.947,0.41,0.433,0.419,0.425
09/28/00,Dem,548,315.75,0.565,0.583,0.576,0.58
09/28/00,Reform,531,1.848,0.003,0.004,0.003,0.004
09/28/00,Rep,371,156.278,0.41,0.439,0.421,0.428
09/29/00,Dem,272,159.859,0.57,0.599,0.588,0.57
09/29/00,Reform,93,0.356,0.002,0.004,0.004,0.002
09/29/00,Rep,935,394.284,0.42,0.435,0.422,0.425
09/30/00,Dem,195,110.585,0.566,0.57,0.567,0.566
09/30/00,Reform,187,0.375,0.002,0.003,0.002,0.002
09/30/00,Rep,632,281.389,0.428,0.459,0.445,0.436
10/01/00,Dem,238,135.023,0.566,0.578,0.567,0.578
10/01/00,Reform,16,0.032,0.002,0.003,0.002,0.002
10/01/00,Rep,115,48.296,0.396,0.436,0.42,0.396
10/02/00,Dem,644,384.653,0.569,0.624,0.597,0.611
10/02/00,Reform,580,1.222,0.002,0.003,0.002,0.002
10/02/00,Rep,544,222.716,0.396,0.428,0.409,0.396
10/03/00,Dem,"1,840","1,151.41",0.593,0.65,0.626,0.6
10/03/00,Reform,590,0.86,0.001,0.003,0.001,0.001
10/03/00,Rep,"4,427","1,734.28",0.346,0.437,0.392,0.38
10/04/00,Dem,"1,021",659.643,0.62,0.659,0.646,0.659
10/04/00,Reform,554,0.579,0.001,0.002,0.001,0.001
10/04/00,Rep,970,346.284,0.325,0.367,0.357,0.325
10/05/00,Dem,"1,228",830.258,0.641,0.7,0.676,0.68
10/05/00,Reform,105,0.127,0.001,0.002,0.001,0.002
10/05/00,Rep,"1,340",429.308,0.3,0.35,0.32,0.31
10/06/00,Dem,680,471.913,0.675,0.684,0.694,0.675
10/06/00,Reform,135,0.17,0.001,0.002,0.001,0.002
10/06/00,Rep,"2,186",684.032,0.32,0.34,0.313,0.338
10/07/00,Dem,327,208.817,0.62,0.683,0.639,0.62
10/07/00,Reform,205,0.244,0.001,0.002,0.001,0.001
10/07/00,Rep,"1,360",477.047,0.338,0.379,0.351,0.379
10/08/00,Dem,"1,786","1,069.36",0.551,0.672,0.599,0.606
10/08/00,Reform,31,0.031,0.001,0.001,0.001,0.001
10/08/00,Rep,"1,859",750.937,0.369,0.45,0.404,0.42
10/09/00,Dem,"1,913","1,105.04",0.558,0.657,0.578,0.58
10/09/00,Reform,56,0.056,0.001,0.002,0.001,0.001
10/09/00,Rep,"1,407",607.679,0.369,0.44,0.432,0.44
10/10/00,Dem,916,551.054,0.56,0.625,0.602,0.59
10/10/00,Reform,500,0.5,0.001,0.002,0.001,0.001
10/10/00,Rep,"1,324",565.866,0.377,0.448,0.427,0.417
10/11/00,Dem,"1,386",810.125,0.551,0.61,0.585,0.552
10/11/00,Reform,"1,252",1.645,0.001,0.002,0.001,0.001
10/11/00,Rep,"3,624","1,529.99",0.411,0.45,0.422,0.449
10/12/00,Dem,878,485.26,0.541,0.568,0.553,0.541
10/12/00,Reform,330,0.39,0.001,0.002,0.001,0.001
10/12/00,Rep,715,324.772,0.441,0.469,0.454,0.46
10/13/00,Dem,377,205.19,0.535,0.555,0.544,0.535
10/13/00,Reform,271,0.291,0.001,0.002,0.001,0.001
10/13/00,Rep,419,193.169,0.45,0.467,0.461,0.461
10/14/00,Dem,374,198.358,0.509,0.564,0.53,0.526
10/14/00,Reform,311,0.312,0.001,0.002,0.001,0.001
10/14/00,Rep,"1,516",725.876,0.462,0.48,0.479,0.48
10/15/00,Dem,180,92.349,0.506,0.524,0.513,0.516
10/15/00,Reform,30,0.035,0.001,0.002,0.001,0.002
10/15/00,Rep,295,144.802,0.48,0.496,0.491,0.493
10/16/00,Dem,"1,804",878.111,0.452,0.518,0.487,0.476
10/16/00,Reform,666,0.668,0,0.002,0.001,0
10/16/00,Rep,"3,764","1,967.34",0.486,0.575,0.523,0.529
10/17/00,Dem,"3,380","1,696.37",0.473,0.559,0.502,0.516
10/17/00,Reform,359,0.257,0,0.001,0.001,0
10/17/00,Rep,"2,362","1,185.48",0.449,0.54,0.502,0.48
10/18/00,Dem,"2,502","1,316.93",0.5,0.56,0.526,0.52
10/18/00,Reform,36,0.036,0,0.001,0.001,0.001
10/18/00,Rep,446,214.695,0.468,0.495,0.481,0.49
10/19/00,Dem,"1,625",794.534,0.47,0.52,0.489,0.479
